Game 1 | Country 1 | 1.1.1.1 | 1.0.1.1
Game 3 | Country 8 | 1.1.3.8 | 1.0.3.8
Game 3 | Country 9 | 1.1.3.9 | 1.0.3.9
Game 3 | Country 10 | 1.1.3.10 | 1.0.3.10
Game 3 | Country 11 | 1.1.3.11 | 1.0.3.11
Game 3 | Country 12 | 1.1.3.12 | 1.0.3.12
Game 3 | Country 13 | 1.1.3.13 | 1.0.3.13
Game 4 | Country 1 | 1.1.4.1 | 1.0.4.1
Game 4 | Country 2 | 1.1.4.2 | 1.0.4.2
Game 4 | Country 3 | 1.1.4.3 | 1.0.4.3
Game 4 | Country 4 | 1.1.4.4 | 1.0.4.4
Game 4 | Country 5 | 1.1.4.5 | 1.0.4.5
Game 4 | Country 6 | 1.1.4.6 | 1.0.4.6
Game 4 | Country 7 | 1.1.4.7 | 1.0.4.7
Game 4 | Country 8 | 1.1.4.8 | 1.0.4.8
Game 4 | Country 9 | 1.1.4.9 | 1.0.4.9
Game 4 | Country 10 | 1.1.4.10 | 1.0.4.10
Game 4 | Country 11 | 1.1.4.11 | 1.0.4.11
Game 4 | Country 12 | 1.1.4.12 | 1.0.4.12
Game 4 | Country 13 | 1.1.4.13 | 1.0.4.13
Game 5 | Country 1 | 1.1.5.1 | 1.0.5.1
Game 5 | Country 2 | 1.1.5.2 | 1.0.5.2
Game 5 | Country 3 | 1.1.5.3 | 1.0.5.3
Game 5 | Country 4 | 1.1.5.4 | 1.0.5.4
Game 5 | Country 5 | 1.1.5.5 | 1.0.5.5
Game 5 | Country 6 | 1.1.5.6 | 1.0.5.6
Game 5 | Country 7 | 1.1.5.7 | 1.0.5.7
Game 5 | Country 8 | 1.1.5.8 | 1.0.5.8
Game 5 | Country 9 | 1.1.5.9 | 1.0.5.9
Game 5 | Country 10 | 1.1.5.10 | 1.0.5.10
Game 5 | Country 11 | 1.1.5.11 | 1.0.5.11
Game 5 | Country 12 | 1.1.5.12 | 1.0.5.12
Game 5 | Country 13 | 1.1.5.13 | 1.0.5.13
Game 6 | Country 1 | 1.1.6.1 | 1.0.6.1
Game 6 | Country 2 | 1.1.6.2 | 1.0.6.2
Game 6 | Country 3 | 1.1.6.3 | 1.0.6.3
Game 6 | Country 4 | 1.1.6.4 | 1.0.6.4
Game 6 | Country 5 | 1.1.6.5 | 1.0.6.5
Game 6 | Country 6 | 1.1.6.6 | 1.0.6.6
Game 6 | Country 7 | 1.1.6.7 | 1.0.6.7
Game 6 | Country 8 | 1.1.6.8 | 1.0.6.8
Game 6 | Country 9 | 1.1.6.9 | 1.0.6.9
Game 6 | Country 10 | 1.1.6.10 | 1.0.6.10
Game 6 | Country 11 | 1.1.6.11 | 1.0.6.11
Game 6 | Country 12 | 1.1.6.12 | 1.0.6.12
Game 6 | Country 13 | 1.1.6.13 | 1.0.6.13
Game 7 | Country 1 | 1.1.7.1 | 1.0.7.1
Game 7 | Country 2 | 1.1.7.2 | 1.0.7.2
Game 7 | Country 3 | 1.1.7.3 | 1.0.7.3
Game 7 | Country 4 | 1.1.7.4 | 1.0.7.4
Game 7 | Country 5 | 1.1.7.5 | 1.0.7.5
Game 7 | Country 6 | 1.1.7.6 | 1.0.7.6
Game 7 | Country 7 | 1.1.7.7 | 1.0.7.7
Game 7 | Country 8 | 1.1.7.8 | 1.0.7.8
Game 7 | Country 9 | 1.1.7.9 | 1.0.7.9
Game 7 | Country 10 | 1.1.7.10 | 1.0.7.10
Game 7 | Country 11 | 1.1.7.11 | 1.0.7.11
Game 7 | Country 12 | 1.1.7.12 | 1.0.7.12
Game 7 | Country 13 | 1.1.7.13 | 1.0.7.13
Game 8 | Country 1 | 1.1.8.1 | 1.0.8.1
Game 8 | Country 2 | 1.1.8.2 | 1.0.8.2
Game 8 | Country 3 | 1.1.8.3 | 1.0.8.3
Game 8 | Country 4 | 1.1.8.4 | 1.0.8.4
Game 8 | Country 5 | 1.1.8.5 | 1.0.8.5
Game 8 | Country 6 | 1.1.8.6 | 1.0.8.6
Game 8 | Country 7 | 1.1.8.7 | 1.0.8.7
Game 8 | Country 8 | 1.1.8.8 | 1.0.8.8
Game 8 | Country 9 | 1.1.8.9 | 1.0.8.9
Game 8 | Country 10 | 1.1.8.10 | 1.0.8.10
Game 8 | Country 11 | 1.1.8.11 | 1.0.8.11
Game 8 | Country 12 | 1.1.8.12 | 1.0.8.12
Game 8 | Country 13 | 1.1.8.13 | 1.0.8.13
Game 9 | Country 1 | 1.1.9.1 | 1.0.9.1
Game 9 | Country 2 | 1.1.9.2 | 1.0.9.2
Game 9 | Country 3 | 1.1.9.3 | 1.0.9.3
Game 9 | Country 4 | 1.1.9.4 | 1.0.9.4
Game 9 | Country 5 | 1.1.9.5 | 1.0.9.5
Game 9 | Country 6 | 1.1.9.6 | 1.0.9.6
Game 9 | Country 7 | 1.1.9.7 | 1.0.9.7
Game 9 | Country 8 | 1.1.9.8 | 1.0.9.8
Game 9 | Country 9 | 1.1.9.9 | 1.0.9.9
Game 9 | Country 10 | 1.1.9.10 | 1.0.9.10
Game 9 | Country 11 | 1.1.9.11 | 1.0.9.11
Game 9 | Country 12 | 1.1.9.12 | 1.0.9.12
Game 9 | Country 13 | 1.1.9.13 | 1.0.9.13
Game 10 | Country 1 | 1.1.10.1 | 1.0.10.1
Game 10 | Country 2 | 1.1.10.2 | 1.0.10.2
Game 10 | Country 3 | 1.1.10.3 | 1.0.10.3
Game 10 | Country 4 | 1.1.10.4 | 1.0.10.4
Game 10 | Country 5 | 1.1.10.5 | 1.0.10.5
Game 10 | Country 6 | 1.1.10.6 | 1.0.10.6
Game 10 | Country 7 | 1.1.10.7 | 1.0.10.7
Game 10 | Country 8 | 1.1.10.8 | 1.0.10.8
Game 10 | Country 9 | 1.1.10.9 | 1.0.10.9
Game 10 | Country 10 | 1.1.10.10 | 1.0.10.10
Game 10 | Country 11 | 1.1.10.11 | 1.0.10.11
Game 10 | Country 12 | 1.1.10.12 | 1.0.10.12
Game 10 | Country 13 | 1.1.10.13 | 1.0.10.13
Game 11 | Country 1 | 1.1.11.1 | 1.0.11.1
Game 11 | Country 2 | 1.1.11.2 | 1.0.11.2
Game 11 | Country 3 | 1.1.11.3 | 1.0.11.3
Game 11 | Country 4 | 1.1.11.4 | 1.0.11.4
Game 11 | Country 5 | 1.1.11.5 | 1.0.11.5
Game 11 | Country 6 | 1.1.11.6 | 1.0.11.6
Game 11 | Country 7 | 1.1.11.7 | 1.0.11.7
Game 11 | Country 8 | 1.1.11.8 | 1.0.11.8
Game 11 | Country 9 | 1.1.11.9 | 1.0.11.9
Game 11 | Country 10 | 1.1.11.10 | 1.0.11.10
Game 11 | Country 11 | 1.1.11.11 | 1.0.11.11
Game 11 | Country 12 | 1.1.11.12 | 1.0.11.12
Game 11 | Country 13 | 1.1.11.13 | 1.0.11.13
Game 12 | Country 1 | 1.1.12.1 | 1.0.12.1
Game 12 | Country 2 | 1.1.12.2 | 1.0.12.2
Game 12 | Country 3 | 1.1.12.3 | 1.0.12.3
Game 12 | Country 4 | 1.1.12.4 | 1.0.12.4
Game 12 | Country 5 | 1.1.12.5 | 1.0.12.5
Game 12 | Country 6 | 1.1.12.6 | 1.0.12.6
Game 12 | Country 7 | 1.1.12.7 | 1.0.12.7
Game 12 | Country 8 | 1.1.12.8 | 1.0.12.8
Game 12 | Country 9 | 1.1.12.9 | 1.0.12.9
Game 12 | Country 10 | 1.1.12.10 | 1.0.12.10
Game 12 | Country 11 | 1.1.12.11 | 1.0.12.11
Game 12 | Country 12 | 1.1.12.12 | 1.0.12.12
Game 12 | Country 13 | 1.1.12.13 | 1.0.12.13
Game 13 | Country 1 | 1.1.13.1 | 1.0.13.1
Game 13 | Country 2 | 1.1.13.2 | 1.0.13.2
Game 13 | Country 3 | 1.1.13.3 | 1.0.13.3
Game 13 | Country 4 | 1.1.13.4 | 1.0.13.4
Game 13 | Country 5 | 1.1.13.5 | 1.0.13.5
Game 13 | Country 6 | 1.1.13.6 | 1.0.13.6
Game 13 | Country 7 | 1.1.13.7 | 1.0.13.7
Game 13 | Country 8 | 1.1.13.8 | 1.0.13.8
Game 13 | Country 9 | 1.1.13.9 | 1.0.13.9
Game 13 | Country 10 | 1.1.13.10 | 1.0.13.10
Game 13 | Country 11 | 1.1.13.11 | 1.0.13.11
Game 13 | Country 12 | 1.1.13.12 | 1.0.13.12
Game 13 | Country 13 | 1.1.13.13 | 1.0.13.13
Game 14 | Country 1 | 1.1.14.1 | 1.0.14.1
Game 14 | Country 2 | 1.1.14.2 | 1.0.14.2
Game 14 | Country 3 | 1.1.14.3 | 1.0.14.3
Game 14 | Country 4 | 1.1.14.4 | 1.0.14.4
Game 14 | Country 5 | 1.1.14.5 | 1.0.14.5
Game 14 | Country 6 | 1.1.14.6 | 1.0.14.6
Game 14 | Country 7 | 1.1.14.7 | 1.0.14.7
Game 14 | Country 8 | 1.1.14.8 | 1.0.14.8
Game 14 | Country 9 | 1.1.14.9 | 1.0.14.9
Game 14 | Country 10 | 1.1.14.10 | 1.0.14.10
Game 14 | Country 11 | 1.1.14.11 | 1.0.14.11
Game 14 | Country 12 | 1.1.14.12 | 1.0.14.12
Game 14 | Country 13 | 1.1.14.13 | 1.0.14.13
Game 15 | Country 1 | 1.1.15.1 | 1.0.15.1
Game 15 | Country 2 | 1.1.15.2 | 1.0.15.2
Game 15 | Country 3 | 1.1.15.3 | 1.0.15.3
Game 15 | Country 4 | 1.1.15.4 | 1.0.15.4
Game 15 | Country 5 | 1.1.15.5 | 1.0.15.5
Game 15 | Country 6 | 1.1.15.6 | 1.0.15.6
Game 15 | Country 7 | 1.1.15.7 | 1.0.15.7
Game 15 | Country 8 | 1.1.15.8 | 1.0.15.8
Game 15 | Country 9 | 1.1.15.9 | 1.0.15.9
Game 15 | Country 10 | 1.1.15.10 | 1.0.15.10
Game 15 | Country 11 | 1.1.15.11 | 1.0.15.11
Game 15 | Country 12 | 1.1.15.12 | 1.0.15.12
Game 15 | Country 13 | 1.1.15.13 | 1.0.15.13
Game 16 | Country 1 | 1.1.16.1 | 1.0.16.1
Game 16 | Country 2 | 1.1.16.2 | 1.0.16.2
Game 16 | Country 3 | 1.1.16.3 | 1.0.16.3
Game 16 | Country 4 | 1.1.16.4 | 1.0.16.4
Game 16 | Country 5 | 1.1.16.5 | 1.0.16.5
Game 16 | Country 6 | 1.1.16.6 | 1.0.16.6
Game 16 | Country 7 | 1.1.16.7 | 1.0.16.7
Game 16 | Country 8 | 1.1.16.8 | 1.0.16.8
Game 16 | Country 9 | 1.1.16.9 | 1.0.16.9
Game 16 | Country 10 | 1.1.16.10 | 1.0.16.10
Game 16 | Country 11 | 1.1.16.11 | 1.0.16.11
Game 16 | Country 12 | 1.1.16.12 | 1.0.16.12
Game 16 | Country 13 | 1.1.16.13 | 1.0.16.13
Game 17 | Country 1 | 1.1.17.1 | 1.0.17.1
Game 17 | Country 2 | 1.1.17.2 | 1.0.17.2
Game 17 | Country 3 | 1.1.17.3 | 1.0.17.3
Game 17 | Country 4 | 1.1.17.4 | 1.0.17.4
Game 17 | Country 5 | 1.1.17.5 | 1.0.17.5
Game 17 | Country 6 | 1.1.17.6 | 1.0.17.6
Game 17 | Country 7 | 1.1.17.7 | 1.0.17.7
Game 17 | Country 8 | 1.1.17.8 | 1.0.17.8
Game 17 | Country 9 | 1.1.17.9 | 1.0.17.9
Game 17 | Country 10 | 1.1.17.10 | 1.0.17.10
Game 17 | Country 11 | 1.1.17.11 | 1.0.17.11
Game 17 | Country 12 | 1.1.17.12 | 1.0.17.12
Game 17 | Country 13 | 1.1.17.13 | 1.0.17.13
Game 18 | Country 1 | 1.1.18.1 | 1.0.18.1
Game 18 | Country 2 | 1.1.18.2 | 1.0.18.2
Game 18 | Country 3 | 1.1.18.3 | 1.0.18.3
Game 18 | Country 4 | 1.1.18.4 | 1.0.18.4
Game 18 | Country 5 | 1.1.18.5 | 1.0.18.5
Game 18 | Country 6 | 1.1.18.6 | 1.0.18.6
Game 18 | Country 7 | 1.1.18.7 | 1.0.18.7
Game 18 | Country 8 | 1.1.18.8 | 1.0.18.8
Game 18 | Country 9 | 1.1.18.9 | 1.0.18.9
Game 18 | Country 10 | 1.1.18.10 | 1.0.18.10
Game 18 | Country 11 | 1.1.18.11 | 1.0.18.11
Game 18 | Country 12 | 1.1.18.12 | 1.0.18.12
Game 18 | Country 13 | 1.1.18.13 | 1.0.18.13
Game 19 | Country 1 | 1.1.19.1 | 1.0.19.1
Game 19 | Country 2 | 1.1.19.2 | 1.0.19.2
Game 19 | Country 3 | 1.1.19.3 | 1.0.19.3
Game 19 | Country 4 | 1.1.19.4 | 1.0.19.4
Game 19 | Country 5 | 1.1.19.5 | 1.0.19.5
Game 19 | Country 6 | 1.1.19.6 | 1.0.19.6
Game 19 | Country 7 | 1.1.19.7 | 1.0.19.7
Game 19 | Country 8 | 1.1.19.8 | 1.0.19.8
Game 19 | Country 9 | 1.1.19.9 | 1.0.19.9
Game 19 | Country 10 | 1.1.19.10 | 1.0.19.10
Game 19 | Country 11 | 1.1.19.11 | 1.0.19.11
Game 19 | Country 12 | 1.1.19.12 | 1.0.19.12
Game 19 | Country 13 | 1.1.19.13 | 1.0.19.13
Game 20 | Country 1 | 1.1.20.1 | 1.0.20.1
Game 20 | Country 2 | 1.1.20.2 | 1.0.20.2
Game 20 | Country 3 | 1.1.20.3 | 1.0.20.3
Game 20 | Country 4 | 1.1.20.4 | 1.0.20.4
Game 20 | Country 5 | 1.1.20.5 | 1.0.20.5
Game 20 | Country 6 | 1.1.20.6 | 1.0.20.6
Game 20 | Country 7 | 1.1.20.7 | 1.0.20.7
Game 20 | Country 8 | 1.1.20.8 | 1.0.20.8
Game 20 | Country 9 | 1.1.20.9 | 1.0.20.9
Game 20 | Country 10 | 1.1.20.10 | 1.0.20.10
Game 20 | Country 11 | 1.1.20.11 | 1.0.20.11
Game 20 | Country 12 | 1.1.20.12 | 1.0.20.12
Game 20 | Country 13 | 1.1.20.13 | 1.0.20.13
Game 21 | Country 1 | 1.1.21.1 | 1.0.21.1
Game 21 | Country 2 | 1.1.21.2 | 1.0.21.2
Game 21 | Country 3 | 1.1.21.3 | 1.0.21.3
Game 21 | Country 4 | 1.1.21.4 | 1.0.21.4
Game 21 | Country 5 | 1.1.21.5 | 1.0.21.5
Game 21 | Country 6 | 1.1.21.6 | 1.0.21.6
Game 21 | Country 7 | 1.1.21.7 | 1.0.21.7
Game 21 | Country 8 | 1.1.21.8 | 1.0.21.8
Game 21 | Country 9 | 1.1.21.9 | 1.0.21.9
Game 21 | Country 10 | 1.1.21.10 | 1.0.21.10
Game 21 | Country 11 | 1.1.21.11 | 1.0.21.11
Game 21 | Country 12 | 1.1.21.12 | 1.0.21.12
Game 21 | Country 13 | 1.1.21.13 | 1.0.21.13
Game 22 | Country 1 | 1.1.22.1 | 1.0.22.1
Game 22 | Country 2 | 1.1.22.2 | 1.0.22.2
Game 22 | Country 3 | 1.1.22.3 | 1.0.22.3
Game 22 | Country 4 | 1.1.22.4 | 1.0.22.4
Game 22 | Country 5 | 1.1.22.5 | 1.0.22.5
Game 22 | Country 6 | 1.1.22.6 | 1.0.22.6
Game 22 | Country 7 | 1.1.22.7 | 1.0.22.7
Game 22 | Country 8 | 1.1.22.8 | 1.0.22.8
Game 22 | Country 9 | 1.1.22.9 | 1.0.22.9
Game 22 | Country 10 | 1.1.22.10 | 1.0.22.10
Game 22 | Country 11 | 1.1.22.11 | 1.0.22.11
Game 22 | Country 12 | 1.1.22.12 | 1.0.22.12
Game 22 | Country 13 | 1.1.22.13 | 1.0.22.13
Game 23 | Country 1 | 1.1.23.1 | 1.0.23.1
Game 23 | Country 2 | 1.1.23.2 | 1.0.23.2
Game 23 | Country 3 | 1.1.23.3 | 1.0.23.3
Game 23 | Country 4 | 1.1.23.4 | 1.0.23.4
Game 23 | Country 5 | 1.1.23.5 | 1.0.23.5
Game 23 | Country 6 | 1.1.23.6 | 1.0.23.6
Game 23 | Country 7 | 1.1.23.7 | 1.0.23.7
Game 23 | Country 8 | 1.1.23.8 | 1.0.23.8
Game 23 | Country 9 | 1.1.23.9 | 1.0.23.9
Game 23 | Country 10 | 1.1.23.10 | 1.0.23.10
Game 23 | Country 11 | 1.1.23.11 | 1.0.23.11
Game 23 | Country 12 | 1.1.23.12 | 1.0.23.12
Game 23 | Country 13 | 1.1.23.13 | 1.0.23.13
Game 24 | Country 1 | 1.1.24.1 | 1.0.24.1
Game 24 | Country 2 | 1.1.24.2 | 1.0.24.2
Game 24 | Country 3 | 1.1.24.3 | 1.0.24.3
Game 24 | Country 4 | 1.1.24.4 | 1.0.24.4
Game 24 | Country 5 | 1.1.24.5 | 1.0.24.5
Game 24 | Country 6 | 1.1.24.6 | 1.0.24.6
Game 24 | Country 7 | 1.1.24.7 | 1.0.24.7
Game 24 | Country 8 | 1.1.24.8 | 1.0.24.8
Game 24 | Country 9 | 1.1.24.9 | 1.0.24.9
Game 24 | Country 10 | 1.1.24.10 | 1.0.24.10
Game 24 | Country 11 | 1.1.24.11 | 1.0.24.11
Game 24 | Country 12 | 1.1.24.12 | 1.0.24.12
Game 24 | Country 13 | 1.1.24.13 | 1.0.24.13
Game 25 | Country 1 | 1.1.25.1 | 1.0.25.1
Game 25 | Country 2 | 1.1.25.2 | 1.0.25.2
Game 25 | Country 3 | 1.1.25.3 | 1.0.25.3
Game 25 | Country 4 | 1.1.25.4 | 1.0.25.4
Game 25 | Country 5 | 1.1.25.5 | 1.0.25.5
Game 25 | Country 6 | 1.1.25.6 | 1.0.25.6
Game 25 | Country 7 | 1.1.25.7 | 1.0.25.7
Game 25 | Country 8 | 1.1.25.8 | 1.0.25.8
Game 25 | Country 9 | 1.1.25.9 | 1.0.25.9
Game 25 | Country 10 | 1.1.25.10 | 1.0.25.10
Game 25 | Country 11 | 1.1.25.11 | 1.0.25.11
Game 25 | Country 12 | 1.1.25.12 | 1.0.25.12
Game 25 | Country 13 | 1.1.25.13 | 1.0.25.13
Game 26 | Country 1 | 1.1.26.1 | 1.0.26.1
Game 26 | Country 2 | 1.1.26.2 | 1.0.26.2
Game 26 | Country 3 | 1.1.26.3 | 1.0.26.3
Game 26 | Country 4 | 1.1.26.4 | 1.0.26.4
Game 26 | Country 5 | 1.1.26.5 | 1.0.26.5
Game 26 | Country 6 | 1.1.26.6 | 1.0.26.6
Game 26 | Country 7 | 1.1.26.7 | 1.0.26.7
Game 26 | Country 8 | 1.1.26.8 | 1.0.26.8
Game 26 | Country 9 | 1.1.26.9 | 1.0.26.9
Game 26 | Country 10 | 1.1.26.10 | 1.0.26.10
Game 26 | Country 11 | 1.1.26.11 | 1.0.26.11
Game 26 | Country 12 | 1.1.26.12 | 1.0.26.12
Game 26 | Country 13 | 1.1.26.13 | 1.0.26.13
Game 27 | Country 1 | 1.1.27.1 | 1.0.27.1
Game 27 | Country 2 | 1.1.27.2 | 1.0.27.2
Game 27 | Country 3 | 1.1.27.3 | 1.0.27.3
Game 27 | Country 4 | 1.1.27.4 | 1.0.27.4
Game 27 | Country 5 | 1.1.27.5 | 1.0.27.5
Game 27 | Country 6 | 1.1.27.6 | 1.0.27.6
Game 27 | Country 7 | 1.1.27.7 | 1.0.27.7
Game 27 | Country 8 | 1.1.27.8 | 1.0.27.8
Game 27 | Country 9 | 1.1.27.9 | 1.0.27.9
Game 27 | Country 10 | 1.1.27.10 | 1.0.27.10
Game 27 | Country 11 | 1.1.27.11 | 1.0.27.11
Game 27 | Country 12 | 1.1.27.12 | 1.0.27.12
Game 27 | Country 13 | 1.1.27.13 | 1.0.27.13
Game 28 | Country 1 | 1.1.28.1 | 1.0.28.1
Game 28 | Country 2 | 1.1.28.2 | 1.0.28.2
Game 28 | Country 3 | 1.1.28.3 | 1.0.28.3
Game 28 | Country 4 | 1.1.28.4 | 1.0.28.4
Game 28 | Country 5 | 1.1.28.5 | 1.0.28.5
Game 28 | Country 6 | 1.1.28.6 | 1.0.28.6
Game 28 | Country 7 | 1.1.28.7 | 1.0.28.7
Game 28 | Country 8 | 1.1.28.8 | 1.0.28.8
Game 28 | Country 9 | 1.1.28.9 | 1.0.28.9
Game 28 | Country 10 | 1.1.28.10 | 1.0.28.10
Game 28 | Country 11 | 1.1.28.11 | 1.0.28.11
Game 28 | Country 12 | 1.1.28.12 | 1.0.28.12
Game 28 | Country 13 | 1.1.28.13 | 1.0.28.13
Game 29 | Country 1 | 1.1.29.1 | 1.0.29.1
Game 29 | Country 2 | 1.1.29.2 | 1.0.29.2
Game 29 | Country 3 | 1.1.29.3 | 1.0.29.3
Game 29 | Country 4 | 1.1.29.4 | 1.0.29.4
Game 29 | Country 5 | 1.1.29.5 | 1.0.29.5
Game 29 | Country 6 | 1.1.29.6 | 1.0.29.6
Game 29 | Country 7 | 1.1.29.7 | 1.0.29.7
Game 29 | Country 8 | 1.1.29.8 | 1.0.29.8
Game 29 | Country 9 | 1.1.29.9 | 1.0.29.9
Game 29 | Country 10 | 1.1.29.10 | 1.0.29.10
Game 29 | Country 11 | 1.1.29.11 | 1.0.29.11
Game 29 | Country 12 | 1.1.29.12 | 1.0.29.12
Game 29 | Country 13 | 1.1.29.13 | 1.0.29.13
Game 30 | Country 1 | 1.1.30.1 | 1.0.30.1
Game 30 | Country 2 | 1.1.30.2 | 1.0.30.2
Game 30 | Country 3 | 1.1.30.3 | 1.0.30.3
Game 30 | Country 4 | 1.1.30.4 | 1.0.30.4
Game 30 | Country 5 | 1.1.30.5 | 1.0.30.5
Game 30 | Country 6 | 1.1.30.6 | 1.0.30.6
Game 30 | Country 7 | 1.1.30.7 | 1.0.30.7
Game 30 | Country 8 | 1.1.30.8 | 1.0.30.8
Game 30 | Country 9 | 1.1.30.9 | 1.0.30.9
Game 30 | Country 10 | 1.1.30.10 | 1.0.30.10
Game 30 | Country 11 | 1.1.30.11 | 1.0.30.11
Game 30 | Country 12 | 1.1.30.12 | 1.0.30.12
Game 30 | Country 13 | 1.1.30.13 | 1.0.30.13
Game 31 | Country 1 | 1.1.31.1 | 1.0.31.1
Game 31 | Country 2 | 1.1.31.2 | 1.0.31.2
Game 31 | Country 3 | 1.1.31.3 | 1.0.31.3
Game 31 | Country 4 | 1.1.31.4 | 1.0.31.4
Game 31 | Country 5 | 1.1.31.5 | 1.0.31.5
Game 31 | Country 6 | 1.1.31.6 | 1.0.31.6
Game 31 | Country 7 | 1.1.31.7 | 1.0.31.7
Game 31 | Country 8 | 1.1.31.8 | 1.0.31.8
Game 31 | Country 9 | 1.1.31.9 | 1.0.31.9
Game 31 | Country 10 | 1.1.31.10 | 1.0.31.10
Game 31 | Country 11 | 1.1.31.11 | 1.0.31.11
Game 31 | Country 12 | 1.1.31.12 | 1.0.31.12
Game 31 | Country 13 | 1.1.31.13 | 1.0.31.13
Game 32 | Country 1 | 1.1.32.1 | 1.0.32.1
Game 32 | Country 2 | 1.1.32.2 | 1.0.32.2
Game 32 | Country 3 | 1.1.32.3 | 1.0.32.3
Game 32 | Country 4 | 1.1.32.4 | 1.0.32.4
Game 32 | Country 5 | 1.1.32.5 | 1.0.32.5
Game 32 | Country 6 | 1.1.32.6 | 1.0.32.6
Game 32 | Country 7 | 1.1.32.7 | 1.0.32.7
Game 32 | Country 8 | 1.1.32.8 | 1.0.32.8
Game 32 | Country 9 | 1.1.32.9 | 1.0.32.9
Game 32 | Country 10 | 1.1.32.10 | 1.0.32.10
Game 32 | Country 11 | 1.1.32.11 | 1.0.32.11
Game 32 | Country 12 | 1.1.32.12 | 1.0.32.12
Game 32 | Country 13 | 1.1.32.13 | 1.0.32.13
Game 33 | Country 1 | 1.1.33.1 | 1.0.33.1
Game 33 | Country 2 | 1.1.33.2 | 1.0.33.2
Game 33 | Country 3 | 1.1.33.3 | 1.0.33.3
Game 33 | Country 4 | 1.1.33.4 | 1.0.33.4
Game 33 | Country 5 | 1.1.33.5 | 1.0.33.5
Game 33 | Country 6 | 1.1.33.6 | 1.0.33.6
Game 33 | Country 7 | 1.1.33.7 | 1.0.33.7
Game 33 | Country 8 | 1.1.33.8 | 1.0.33.8
Game 33 | Country 9 | 1.1.33.9 | 1.0.33.9
Game 33 | Country 10 | 1.1.33.10 | 1.0.33.10
Game 33 | Country 11 | 1.1.33.11 | 1.0.33.11
Game 33 | Country 12 | 1.1.33.12 | 1.0.33.12
Game 33 | Country 13 | 1.1.33.13 | 1.0.33.13
Game 34 | Country 1 | 1.1.34.1 | 1.0.34.1
Game 34 | Country 2 | 1.1.34.2 | 1.0.34.2
Game 34 | Country 3 | 1.1.34.3 | 1.0.34.3
Game 34 | Country 4 | 1.1.34.4 | 1.0.34.4
Game 34 | Country 5 | 1.1.34.5 | 1.0.34.5
Game 34 | Country 6 | 1.1.34.6 | 1.0.34.6
Game 34 | Country 7 | 1.1.34.7 | 1.0.34.7
Game 34 | Country 8 | 1.1.34.8 | 1.0.34.8
Game 34 | Country 9 | 1.1.34.9 | 1.0.34.9
Game 34 | Country 10 | 1.1.34.10 | 1.0.34.10
Game 34 | Country 11 | 1.1.34.11 | 1.0.34.11
Game 34 | Country 12 | 1.1.34.12 | 1.0.34.12
Game 34 | Country 13 | 1.1.34.13 | 1.0.34.13
Game 35 | Country 1 | 1.1.35.1 | 1.0.35.1
Game 35 | Country 2 | 1.1.35.2 | 1.0.35.2
Game 35 | Country 3 | 1.1.35.3 | 1.0.35.3
Game 35 | Country 4 | 1.1.35.4 | 1.0.35.4
Game 35 | Country 5 | 1.1.35.5 | 1.0.35.5
Game 35 | Country 6 | 1.1.35.6 | 1.0.35.6
Game 35 | Country 7 | 1.1.35.7 | 1.0.35.7
Game 35 | Country 8 | 1.1.35.8 | 1.0.35.8
